seq_id	sample	species	gene	geneLength
EBIIEENH_00491	BetaCoV/Berlin/ChVir1968/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00491	827
EBIIEENH_01150	BetaCoV/Berlin/2011915/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01150	827
ODOLMAEB_02212	MF094688	BAT	hypothetical protein	3395
EBIIEENH_01205	BetaCoV/Germany/ChVir3187/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_01205	365
ODOLMAEB_01261	MG772934	BAT	Membrane protein	668
ODOLMAEB_00959	KY417143	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_02234	MF094686	BAT	Spike glycoprotein	3416
ODOLMAEB_01486	MN065811	BAT	Nucleoprotein	1259
NMICGJMG_00386	hCoV-19/Wuhan/IPBCAMS-WH-05/2020	WUHAN	hypothetical protein	155
ODOLMAEB_01390	MH539766	BAT	Nucleoprotein	1127
ODOLMAEB_01343	MH002339	BAT	hypothetical protein	683
EBIIEENH_00990	BetaCoV/Germany/ChVir2119/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00990	155
EBIIEENH_00795	BetaCoV/Berlin/MD572007101a/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00795	155
ODOLMAEB_01640	MH687939	BAT	Corona_FSE	78
ODOLMAEB_01133	KY770860	BAT	Replicase polyprotein 1ab	7886
EBIIEENH_00777	BetaCoV/Berlin/MD572007095/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00777	185
ODOLMAEB_01345	MH002339	BAT	Membrane protein	659
ODOLMAEB_02112	KT444582	BAT	Replicase polyprotein 1ab	7886
EBIIEENH_01064	BetaCoV/Neumuenster/ChVir3042/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_01064	365
ODOLMAEB_00943	KY073748	BAT	hypothetical protein	197
EBIIEENH_00045	BetaCoV/Munich/BavPat6-ChVir1247/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_00045	668
ODOLMAEB_02141	KJ473811	BAT	Protein 3a	824
ODOLMAEB_01672	MH687942	BAT	hypothetical protein	230
ODOLMAEB_01873	MH687965	BAT	Corona_FSE	78
ODOLMAEB_02262	MG693172	BAT	Replicase polyprotein 1ab	12584
ODOLMAEB_01980	MK211373	BAT	hypothetical protein	365
EBIIEENH_00022	BetaCoV/Munich/BavPat4-ChVir1019/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00022	131
EBIIEENH_00886	BetaCoV/Bremerhaven/ChVir2101/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00886	155
ODOLMAEB_00370	GQ153541	BAT	Membrane protein	665
ODOLMAEB_00254	EF203064	BAT	Corona_FSE	78
EBIIEENH_00655	BetaCoV/Berlin/MD572006901a/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00427	GQ153545	BAT	s2m	42
EBIIEENH_00979	BetaCoV/Germany/ChVir2119/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00979	13217
CGIJCJNJ_00055	MT072864	PANGOLIN	Replicase polyprotein 1ab	7787
ODOLMAEB_01233	MG762674	BAT	Replicase polyprotein 1ab	12722
NMICGJMG_00218	GWHACDG01000001	WUHAN	s2m	42
ODOLMAEB_00852	KU762338	BAT	hypothetical protein	449
ODOLMAEB_00752	KJ473799	BAT	Replicase polyprotein 1ab	7829
EBIIEENH_00379	BetaCov/Koblenz/ChVir1906/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00379	365
EBIIEENH_00561	BetaCoV/Germany/ChVir1993/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00561	155
ODOLMAEB_01401	MH697599	BAT	Nucleoprotein	1127
NMICGJMG_00393	hCoV-19/Wuhan/IPBCAMS-WH-04/2019	WUHAN	Membrane protein	668
ODOLMAEB_02264	MG693172	BAT	Replicase polyprotein 1ab	7694
EBIIEENH_00261	BetaCoV/Rhein-Kreis-Neuss/MD572006610/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00261	131
EBIIEENH_00432	BetaCoV/Berlin/ChVir1959/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00432	1259
ODOLMAEB_01153	KY799179	BAT	Corona_pk3	62
EBIIEENH_01343	BetaCoV/Germany/ChVir3211/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01343	131
ODOLMAEB_01337	MH002339	BAT	Corona_FSE	84
ODOLMAEB_01870	MH687964	BAT	hypothetical protein	491
EBIIEENH_00376	BetaCov/Koblenz/ChVir1906/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00376	185
ODOLMAEB_00949	KY417142	BAT	Envelope small membrane protein	230
NMICGJMG_00411	hCoV-19/Wuhan/IPBCAMS-WH-03/2019	WUHAN	Nucleoprotein	1259
EBIIEENH_01261	BetaCoV/Germany/ChVir3199/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01261	3821
ODOLMAEB_02153	KJ473813	BAT	Protein 3a	824
NMICGJMG_00432	hCoV-19/Wuhan/WHU01/2020	WUHAN	Membrane protein	668
ODOLMAEB_00773	KJ473820	BAT	Replicase polyprotein 1ab	7913
EBIIEENH_01468	BetaCoV/Berlin/572007102/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01468	365
NMICGJMG_00451	hCoV-19/env/Wuhan/IVDC-HBF13-20/2020	WUHAN	hypothetical protein	155
ODOLMAEB_00746	KJ473798	BAT	Nucleoprotein	1268
ODOLMAEB_01328	MH002338	BAT	Spike glycoprotein	4034
EBIIEENH_00670	BetaCoV/Berlin/MD572006901/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00670	3821
ODOLMAEB_01139	KY770860	BAT	Protein 7a	368
EBIIEENH_01400	BetaCoV/Germany/ChVir3220/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01400	7787
ODOLMAEB_01651	MH687940	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_02331	KC869678	BAT	Corona_pk3	60
ODOLMAEB_02151	KJ473813	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_02080	MK211372	BAT	Replicase polyprotein 1ab	7835
ODOLMAEB_01723	MH687948	BAT	hypothetical protein	230
ODOLMAEB_01180	MF167434	BAT	Replicase polyprotein 1ab	7838
ODOLMAEB_01165	KY938558	BAT	s2m	42
ODOLMAEB_01225	MG742313	BAT	Replicase polyprotein 1ab	7838
ODOLMAEB_02321	KC869678	BAT	Replicase polyprotein 1a	13184
ODOLMAEB_01845	MH687962	BAT	Spike glycoprotein	4115
NMICGJMG_00109	GWHACAX01000001	WUHAN	Protein 3a	827
ODOLMAEB_01408	MH938448	BAT	Spike glycoprotein	4121
EBIIEENH_00308	BetaCov/Weitenhagen/ChVir1689/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00308	3821
EBIIEENH_00475	BetaCoV/Germany/ChVir1967/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01716	MH687947	BAT	Corona_FSE	78
ODOLMAEB_01220	MG596803	BAT	Nucleoprotein	1289
NMICGJMG_00205	GWHACDF01000001	WUHAN	s2m	42
ODOLMAEB_01120	KY770859	BAT	Replicase polyprotein 1a	13148
ODOLMAEB_01058	KY417150	BAT	Protein 7a	368
ODOLMAEB_01504	MN611518	BAT	Nucleoprotein	1268
EBIIEENH_00519	BetaCoV/Berlin/ChVir1970/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00519	185
ODOLMAEB_00248	EF065516	BAT	hypothetical protein	1412
EBIIEENH_01478	EPI_ISL_412912|Europe-Germany-Baden-Wuerttemberg-unknown|2020-02-25	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01478	185
EBIIEENH_00924	BetaCoV/Germany/ChVir2109/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00924	1259
ODOLMAEB_01183	MF167434	BAT	hypothetical protein	227
ODOLMAEB_01178	MF167434	BAT	Replicase polyprotein 1a	12179
ODOLMAEB_00004	DQ022305	BAT	Spike glycoprotein	3728
ODOLMAEB_00582	JQ989270	BAT	Replicase polyprotein 1ab	7832
EBIIEENH_01319	BetaCoV/Germany/ChVir3203/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01319	1259
EBIIEENH_01140	BetaCoV/Germany/2012320/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_01140	365
ODOLMAEB_00489	HM211098	BAT	Replicase polyprotein 1ab	12695
ODOLMAEB_01846	MH687962	BAT	hypothetical protein	674
ODOLMAEB_00824	KU182964	BAT	Envelope small membrane protein	230
ODOLMAEB_01812	MH687958	BAT	Membrane protein	686
ODOLMAEB_01518	MN611520	BAT	Replicase polyprotein 1a	13442
EBIIEENH_00332	BetaCoV/Berlin/ChVir1716/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01267	MG916901	BAT	Coronavirus_5p_sl_1_2	69
ODOLMAEB_02192	KJ473816	BAT	Membrane protein	665
EBIIEENH_00617	BetaCoV/Berlin/ChVir2192-MD572006634/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00617	7787
ODOLMAEB_00301	EU420137	BAT	hypothetical protein	659
ODOLMAEB_01111	KY770858	BAT	Protein 3a	824
EBIIEENH_00234	BetaCoV/Rhein-Kreis-Neuss/ChVir1671/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00234	365
ODOLMAEB_00424	GQ153545	BAT	hypothetical protein	134
NMICGJMG_00118	GWHACAY01000001	WUHAN	Replicase polyprotein 1a	13217
EBIIEENH_00005	BetaCoV/Munich/BavPat2-ChVir984-ChVir1017/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00005	827
ODOLMAEB_01537	MN611521	BAT	Corona_pk3	62
ODOLMAEB_01457	MK720945	BAT	Replicase polyprotein 1ab	7826
ODOLMAEB_01729	MH687949	BAT	Corona_FSE	78
EBIIEENH_00283	BetaCoV/Rheinisch-Bergischer-Kreis/ChVir1683/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00283	827
EBIIEENH_01403	BetaCoV/Germany/ChVir3220/2020	CHAIRITE	Membrane protein;protein_id=gnl|Prokka|EBIIEENH_01403	668
ODOLMAEB_01463	MK720945	BAT	Nucleoprotein	1142
ODOLMAEB_01043	KY417149	BAT	hypothetical protein	191
EBIIEENH_01050	BetaCoV/Kiel/ChVir3038/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01050	185
EBIIEENH_00056	BetaCoV/Munich/BavPat5-ChVir1248/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00056	3821
ODOLMAEB_00802	KP886808	BAT	hypothetical protein	134
NMICGJMG_00312	hCoV-19/Wuhan/WIV02/2019	WUHAN	Replicase polyprotein 1ab	7787
NMICGJMG_00151	GWHACBA01000001	WUHAN	hypothetical protein	365
ODOLMAEB_00645	JX993988	BAT	Membrane protein	665
EBIIEENH_01324	BetaCoV/Germany/ChVir3210/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01324	7787
NMICGJMG_00394	hCoV-19/Wuhan/IPBCAMS-WH-04/2019	WUHAN	hypothetical protein	185
ODOLMAEB_00324	EU420139	BAT	Corona_pk3	61
ODOLMAEB_00580	JQ989270	BAT	Replicase polyprotein 1a	12344
CGIJCJNJ_00088	MT084071.1	PANGOLIN	Replicase polyprotein 1ab	1625
EBIIEENH_00028	BetaCoV/Munich/BavPat3-ChVir1020/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00611	JQ989272	BAT	Nucleoprotein	1208
ODOLMAEB_01630	MH687938	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_01240	MG762674	BAT	Nucleoprotein	1409
ODOLMAEB_00624	JQ989273	BAT	hypothetical protein	242
ODOLMAEB_00851	KU762338	BAT	hypothetical protein	581
EBIIEENH_00179	BetaCoV/Kaiserslautern/ChVir1672/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00179	3821
ODOLMAEB_00609	JQ989272	BAT	hypothetical protein	224
EBIIEENH_00657	BetaCoV/Berlin/MD572006901a/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00657	3821
ODOLMAEB_01336	MH002339	BAT	Replicase polyprotein 1a	13334
EBIIEENH_00668	BetaCoV/Berlin/MD572006901/2020	CHAIRITE	Corona_FSE	81
NMICGJMG_00038	2019-nCoV_WH03	WUHAN	hypothetical protein	155
EBIIEENH_00433	BetaCoV/Berlin/ChVir1959/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00433	155
EBIIEENH_00976	BetaCoV/Germany/ChVir2118/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00976	1259
ODOLMAEB_00741	KJ473798	BAT	Replicase polyprotein 1ab	7829
ODOLMAEB_01599	MH687934	BAT	hypothetical protein	491
EBIIEENH_01399	BetaCoV/Germany/ChVir3220/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_00500	HM211099	BAT	Replicase polyprotein 1ab	12671
ODOLMAEB_01286	MG916902	BAT	Nucleoprotein	1226
ODOLMAEB_00867	KX442564	BAT	Corona_FSE	84
EBIIEENH_00606	BetaCoV/Berlin/MD572006634/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00606	827
EBIIEENH_01125	BetaCoV/Bad-Duerkheim-Kreis/2013281/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_01125	3821
ODOLMAEB_00191	EF065511	BAT	hypothetical protein	671
ODOLMAEB_01366	MH002341	BAT	Envelope small membrane protein	248
EBIIEENH_00100	BetaCoV/Munich/BavPat9-ChVir1433/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00100	365
EBIIEENH_00010	BetaCoV/Munich/BavPat2-ChVir984-ChVir1017/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00010	365
EBIIEENH_00272	BetaCoV/Berlin/ChVir1670/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00272	185
EBIIEENH_01295	BetaCoV/Germany/ChVir3201/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01295	155
ODOLMAEB_00843	KU762338	BAT	Corona_FSE	84
ODOLMAEB_00224	EF065514	BAT	hypothetical protein	239
EBIIEENH_01368	BetaCoV/Germany/ChVir3215/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01368	365
ODOLMAEB_00411	GQ153544	BAT	hypothetical protein	134
EBIIEENH_00130	BetaCoV/Munich/BavPat14-ChVir1483/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00130	3821
ODOLMAEB_02261	MG693168	BAT	hypothetical protein	440
ODOLMAEB_01200	MG596802	BAT	Corona_FSE	84
EBIIEENH_00155	BetaCoV/Munich/BavPat16-ChVir1530/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00155	3821
EBIIEENH_00644	BetaCoV/Germany/MD572006691/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00644	3821
EBIIEENH_00980	BetaCoV/Germany/ChVir2119/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01230	MG742313	BAT	Nucleoprotein	1127
NMICGJMG_00097	GWHACAW01000001	WUHAN	Membrane protein	668
EBIIEENH_00095	BetaCoV/Munich/BavPat9-ChVir1433/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00095	827
EBIIEENH_00334	BetaCoV/Berlin/ChVir1716/2020	CHAIRITE	Spike glycoprotein;protein_id=gnl|Prokka|EBIIEENH_00334	3821
ODOLMAEB_02169	KJ473815	BAT	hypothetical protein	191
CGIJCJNJ_00072	MT072865.1	PANGOLIN	Replicase polyprotein 1a	647
ODOLMAEB_01449	MK720944	BAT	hypothetical protein	605
ODOLMAEB_01441	MK492263	BAT	hypothetical protein	602
ODOLMAEB_00241	EF065516	BAT	Replicase polyprotein 1ab	12731
EBIIEENH_01294	BetaCoV/Germany/ChVir3201/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_01294	1259
ODOLMAEB_00655	KC881005	BAT	Envelope small membrane protein	230
ODOLMAEB_01297	MG916903	BAT	Membrane protein	689
ODOLMAEB_02156	KJ473813	BAT	hypothetical protein	191
EBIIEENH_01346	BetaCoV/Germany/ChVir3211/2020	CHAIRITE	s2m	42
EBIIEENH_00992	BetaCoV/Germany/ChVir2123/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_00992	13217
ODOLMAEB_00780	KJ473820	BAT	Membrane protein	353
ODOLMAEB_01528	MN611520	BAT	Nucleoprotein	1283
EBIIEENH_01217	BetaCoV/Germany/ChVir3192/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01217	185
EBIIEENH_01083	BetaCoV/Flensburg/ChVir3052/2020	CHAIRITE	Replicase polyprotein 1a;protein_id=gnl|Prokka|EBIIEENH_01083	13217
EBIIEENH_00733	BetaCoV/Germany/MD572007081/2020	CHAIRITE	Corona_FSE	81
NMICGJMG_00245	GWHACDJ01000001	WUHAN	Replicase polyprotein 1a	13217
ODOLMAEB_02365	KY352407	BAT	s2m	42
ODOLMAEB_01381	MH002342	BAT	Corona_pk3	59
NMICGJMG_00254	GWHACDJ01000001	WUHAN	hypothetical protein	365
EBIIEENH_01011	BetaCoV/Germany/ChVir2125/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01011	185
NMICGJMG_00123	GWHACAY01000001	WUHAN	Membrane protein	668
EBIIEENH_00312	BetaCov/Weitenhagen/ChVir1689/2020	CHAIRITE	Protein 7a;protein_id=gnl|Prokka|EBIIEENH_00312	365
ODOLMAEB_01696	MH687945	BAT	Replicase polyprotein 1a	12386
ODOLMAEB_00742	KJ473798	BAT	Spike glycoprotein	4124
EBIIEENH_00113	BetaCoV/Munich/BavPat11-ChVir1459/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00113	1259
ODOLMAEB_00152	EF065508	BAT	Spike glycoprotein	4034
NMICGJMG_00289	hCoV-19/Wuhan/IVDC-HB-05/2019	WUHAN	Membrane protein	668
NMICGJMG_00002	2019-nCoV_WH01	WUHAN	Corona_FSE	81
ODOLMAEB_00822	KU182964	BAT	Spike glycoprotein	3710
EBIIEENH_00600	BetaCoV/Berlin/ChVir2192/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00600	155
EBIIEENH_00879	BetaCoV/Bremerhaven/ChVir2101/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00879	827
ODOLMAEB_00696	KF430219	BAT	Membrane protein	680
ODOLMAEB_00804	KP886808	BAT	Nucleoprotein	1265
EBIIEENH_00536	BetaCoV/Lauben/ChVir1980/2020	CHAIRITE	s2m	42
ODOLMAEB_02175	KJ473814	BAT	Corona_FSE	81
EBIIEENH_00866	BetaCoV/Rastede/ChVir2099/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00866	827
EBIIEENH_01252	BetaCoV/Germany/ChVir3196/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01252	185
ODOLMAEB_01212	MG596803	BAT	Replicase polyprotein 1ab	7871
EBIIEENH_00023	BetaCoV/Munich/BavPat4-ChVir1019/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00023	365
CGIJCJNJ_00025	MT040334	PANGOLIN	s2m	32
NMICGJMG_00345	hCoV-19/Wuhan/WIV06/2019	WUHAN	hypothetical protein	365
ODOLMAEB_00893	KX574227	BAT	hypothetical protein	305
EBIIEENH_00037	BetaCoV/Munich/BavPat3-ChVir1020/2020	CHAIRITE	Nucleoprotein;protein_id=gnl|Prokka|EBIIEENH_00037	1259
ODOLMAEB_02095	KJ473821	BAT	Envelope small membrane protein	248
ODOLMAEB_00176	EF065510	BAT	hypothetical protein	311
ODOLMAEB_01223	MG742313	BAT	Replicase polyprotein 1a	12182
ODOLMAEB_02235	MF094686	BAT	hypothetical protein	689
NMICGJMG_00153	GWHACBA01000001	WUHAN	hypothetical protein	155
EBIIEENH_00816	BetaCoV/Rotenburg/ChVir2026/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00816	185
ODOLMAEB_00338	GQ153539	BAT	Replicase polyprotein 1a	13130
ODOLMAEB_01817	MH687959	BAT	Replicase polyprotein 1ab	7829
EBIIEENH_01448	BetaCoV/Berlin/572006643/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_01448	7787
ODOLMAEB_00456	GQ153548	BAT	Replicase polyprotein 1ab	7886
ODOLMAEB_01221	MG596803	BAT	Corona_pk3	60
EBIIEENH_01212	BetaCoV/Germany/ChVir3192/2020	CHAIRITE	Corona_FSE	81
ODOLMAEB_01798	MH687957	BAT	Replicase polyprotein 1ab	7838
EBIIEENH_00074	BetaCoV/Munich/BavPat7-ChVir1289/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_00074	131
ODOLMAEB_01333	MH002338	BAT	Envelope small membrane protein	248
CGIJCJNJ_00079	MT072865.1	PANGOLIN	Spike glycoprotein	1160
NMICGJMG_00510	hCoV-19/Wuhan/HBCDC-HB-04/2019	WUHAN	hypothetical protein	131
ODOLMAEB_01193	MF370205	BAT	hypothetical protein	689
EBIIEENH_01402	BetaCoV/Germany/ChVir3220/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_01402	827
NMICGJMG_00022	2019-nCoV_WH04	WUHAN	hypothetical protein	131
NMICGJMG_00305	hCoV-19/Wuhan/IPBCAMS-WH-01/2019	WUHAN	hypothetical protein	131
EBIIEENH_00773	BetaCoV/Berlin/MD572007095/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00773	7787
EBIIEENH_00825	BetaCoV/Bremerhaven/ChVir2027/2020	CHAIRITE	Replicase polyprotein 1ab;protein_id=gnl|Prokka|EBIIEENH_00825	7787
ODOLMAEB_00543	JQ989266	BAT	Corona_pk3	62
ODOLMAEB_00179	EF065510	BAT	hypothetical protein	671
ODOLMAEB_00878	KX442565	BAT	Corona_FSE	84
EBIIEENH_01037	BetaCoV/Germany/ChVir3003/2020	CHAIRITE	hypothetical protein;protein_id=gnl|Prokka|EBIIEENH_01037	185
EBIIEENH_00070	BetaCoV/Munich/BavPat7-ChVir1289/2020	CHAIRITE	Protein 3a;protein_id=gnl|Prokka|EBIIEENH_00070	827
ODOLMAEB_01893	MH687967	BAT	hypothetical protein	7583
