Node Name,Node gene,Node geneLength,Node sample,Node species,Node Component Identifier,Node Degree,Node In Degree,Node Multiplicity,Node Out Degree
WUHAN_NMICGJMG_00287,S,3821,hCoV-19_Wuhan_IVDC-HB-05_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00274,S,3821,hCoV-19_Wuhan_IVDC-HB-04_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00261,S,3821,hCoV-19_Wuhan_IVDC-HB-01_2019,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00248,S,3821,GWHACDJ01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00235,S,3821,GWHACDI01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00222,S,3821,GWHACDH01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00209,S,3821,GWHACDG01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00184,S,3821,GWHACDE01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00171,S,3821,GWHACBD01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00158,S,3821,GWHACBB01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00145,S,3821,GWHACBA01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00133,S,3821,GWHACAZ01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00121,S,3821,GWHACAY01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00108,S,3821,GWHACAX01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00095,S,3821,GWHACAW01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00082,S,3821,GWHACAV01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00056,S,3821,GWHACAT01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00043,S,3821,GWHABKZ01000001,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00030,S,3821,2019-nCoV_WH03,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00017,S,3821,2019-nCoV_WH04,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00004,S,3821,2019-nCoV_WH01,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00569,S,3821,hCoV-19_Wuhan_HBCDC-HB-06_2020,WUHAN,Component 203,104,52,1,52
WUHAN_NMICGJMG_00469,S,3821,hCoV-19_Wuhan_WH05_2020,WUHAN,Component 203,94,47,1,47
PANGOLIN_CGIJCJNJ_00079,S,1160,MT072865.1,PANGOLIN,Component 203,5,0,1,5

