locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBIIEENH_00086	CDS	366	7a_7			Protein 7a
EBIIEENH_00087	gene	132				
EBIIEENH_00087	CDS	132				hypothetical protein
EBIIEENH_00088	gene	366				
EBIIEENH_00088	CDS	366				hypothetical protein
EBIIEENH_00089	gene	1260	N_7			
EBIIEENH_00089	CDS	1260	N_7			Nucleoprotein
EBIIEENH_00090	gene	43				
EBIIEENH_00090	misc_RNA	43				s2m
EBIIEENH_00091	gene	13218	1a_8			
EBIIEENH_00091	CDS	13218	1a_8			Replicase polyprotein 1a
EBIIEENH_00092	gene	82				
EBIIEENH_00092	misc_RNA	82				Corona_FSE
EBIIEENH_00093	gene	7788	rep_8			
EBIIEENH_00093	CDS	7788	rep_8			Replicase polyprotein 1ab
EBIIEENH_00094	gene	3822	S_8			
EBIIEENH_00094	CDS	3822	S_8			Spike glycoprotein
EBIIEENH_00095	gene	828	3a_8			
EBIIEENH_00095	CDS	828	3a_8			Protein 3a
EBIIEENH_00096	gene	669	M_8			
EBIIEENH_00096	CDS	669	M_8			Membrane protein
EBIIEENH_00097	gene	186				
EBIIEENH_00097	CDS	186				hypothetical protein
EBIIEENH_00098	gene	366	7a_8			
EBIIEENH_00098	CDS	366	7a_8			Protein 7a
EBIIEENH_00099	gene	132				
EBIIEENH_00099	CDS	132				hypothetical protein
EBIIEENH_00100	gene	366				
EBIIEENH_00100	CDS	366				hypothetical protein
EBIIEENH_00101	gene	1260	N_8			
EBIIEENH_00101	CDS	1260	N_8			Nucleoprotein
EBIIEENH_00102	gene	43				
EBIIEENH_00102	misc_RNA	43				s2m
EBIIEENH_00103	gene	13218	1a_9			
EBIIEENH_00103	CDS	13218	1a_9			Replicase polyprotein 1a
EBIIEENH_00104	gene	82				
EBIIEENH_00104	misc_RNA	82				Corona_FSE
EBIIEENH_00105	gene	7788	rep_9			
EBIIEENH_00105	CDS	7788	rep_9			Replicase polyprotein 1ab
EBIIEENH_00106	gene	3822	S_9			
EBIIEENH_00106	CDS	3822	S_9			Spike glycoprotein
EBIIEENH_00107	gene	828	3a_9			
EBIIEENH_00107	CDS	828	3a_9			Protein 3a
EBIIEENH_00108	gene	669	M_9			
EBIIEENH_00108	CDS	669	M_9			Membrane protein
EBIIEENH_00109	gene	186				
EBIIEENH_00109	CDS	186				hypothetical protein
EBIIEENH_00110	gene	366	7a_9			
EBIIEENH_00110	CDS	366	7a_9			Protein 7a
EBIIEENH_00111	gene	132				
EBIIEENH_00111	CDS	132				hypothetical protein
EBIIEENH_00112	gene	366				
EBIIEENH_00112	CDS	366				hypothetical protein
EBIIEENH_00113	gene	1260	N_9			
EBIIEENH_00113	CDS	1260	N_9			Nucleoprotein
EBIIEENH_00114	gene	43				
EBIIEENH_00114	misc_RNA	43				s2m
EBIIEENH_00115	gene	13218	1a_10			
EBIIEENH_00115	CDS	13218	1a_10			Replicase polyprotein 1a
EBIIEENH_00116	gene	82				
EBIIEENH_00116	misc_RNA	82				Corona_FSE
EBIIEENH_00117	gene	7788	rep_10			
EBIIEENH_00117	CDS	7788	rep_10			Replicase polyprotein 1ab
EBIIEENH_00118	gene	3822	S_10			
EBIIEENH_00118	CDS	3822	S_10			Spike glycoprotein
EBIIEENH_00119	gene	828	3a_10			
EBIIEENH_00119	CDS	828	3a_10			Protein 3a
EBIIEENH_00120	gene	669	M_10			
EBIIEENH_00120	CDS	669	M_10			Membrane protein
EBIIEENH_00121	gene	186				
EBIIEENH_00121	CDS	186				hypothetical protein
EBIIEENH_00122	gene	366	7a_10			
EBIIEENH_00122	CDS	366	7a_10			Protein 7a
EBIIEENH_00123	gene	132				
EBIIEENH_00123	CDS	132				hypothetical protein
EBIIEENH_00124	gene	366				
EBIIEENH_00124	CDS	366				hypothetical protein
EBIIEENH_00125	gene	1260	N_10			
EBIIEENH_00125	CDS	1260	N_10			Nucleoprotein
EBIIEENH_00126	gene	43				
EBIIEENH_00126	misc_RNA	43				s2m
EBIIEENH_00127	gene	13218	1a_11			
EBIIEENH_00127	CDS	13218	1a_11			Replicase polyprotein 1a
EBIIEENH_00128	gene	82				
EBIIEENH_00128	misc_RNA	82				Corona_FSE
EBIIEENH_00129	gene	7788	rep_11			
EBIIEENH_00129	CDS	7788	rep_11			Replicase polyprotein 1ab
EBIIEENH_00130	gene	3822	S_11			
EBIIEENH_00130	CDS	3822	S_11			Spike glycoprotein
EBIIEENH_00131	gene	828	3a_11			
EBIIEENH_00131	CDS	828	3a_11			Protein 3a
EBIIEENH_00132	gene	669	M_11			
EBIIEENH_00132	CDS	669	M_11			Membrane protein
EBIIEENH_00133	gene	186				
EBIIEENH_00133	CDS	186				hypothetical protein
EBIIEENH_00134	gene	366	7a_11			
EBIIEENH_00134	CDS	366	7a_11			Protein 7a
EBIIEENH_00135	gene	132				
EBIIEENH_00135	CDS	132				hypothetical protein
EBIIEENH_00136	gene	366				
EBIIEENH_00136	CDS	366				hypothetical protein
EBIIEENH_00137	gene	1260	N_11			
EBIIEENH_00137	CDS	1260	N_11			Nucleoprotein
EBIIEENH_00138	gene	43				
EBIIEENH_00138	misc_RNA	43				s2m
EBIIEENH_00139	gene	13218	1a_12			
EBIIEENH_00139	CDS	13218	1a_12			Replicase polyprotein 1a
EBIIEENH_00140	gene	82				
EBIIEENH_00140	misc_RNA	82				Corona_FSE
EBIIEENH_00141	gene	7788	rep_12			
EBIIEENH_00141	CDS	7788	rep_12			Replicase polyprotein 1ab
EBIIEENH_00142	gene	3822	S_12			
EBIIEENH_00142	CDS	3822	S_12			Spike glycoprotein
EBIIEENH_00143	gene	828	3a_12			
EBIIEENH_00143	CDS	828	3a_12			Protein 3a
EBIIEENH_00144	gene	669	M_12			
EBIIEENH_00144	CDS	669	M_12			Membrane protein
EBIIEENH_00145	gene	186				
EBIIEENH_00145	CDS	186				hypothetical protein
EBIIEENH_00146	gene	366	7a_12			
EBIIEENH_00146	CDS	366	7a_12			Protein 7a
EBIIEENH_00147	gene	132				
EBIIEENH_00147	CDS	132				hypothetical protein
EBIIEENH_00148	gene	366				
EBIIEENH_00148	CDS	366				hypothetical protein
EBIIEENH_00149	gene	1260	N_12			
EBIIEENH_00149	CDS	1260	N_12			Nucleoprotein
EBIIEENH_00150	gene	156				
EBIIEENH_00150	CDS	156				hypothetical protein
EBIIEENH_00151	gene	43				
EBIIEENH_00151	misc_RNA	43				s2m
EBIIEENH_00152	gene	13218	1a_13			
EBIIEENH_00152	CDS	13218	1a_13			Replicase polyprotein 1a
EBIIEENH_00153	gene	82				
EBIIEENH_00153	misc_RNA	82				Corona_FSE
EBIIEENH_00154	gene	7788	rep_13			
EBIIEENH_00154	CDS	7788	rep_13			Replicase polyprotein 1ab
EBIIEENH_00155	gene	3822	S_13			
EBIIEENH_00155	CDS	3822	S_13			Spike glycoprotein
EBIIEENH_00156	gene	828	3a_13			
EBIIEENH_00156	CDS	828	3a_13			Protein 3a
EBIIEENH_00157	gene	669	M_13			
EBIIEENH_00157	CDS	669	M_13			Membrane protein
EBIIEENH_00158	gene	186				
EBIIEENH_00158	CDS	186				hypothetical protein
EBIIEENH_00159	gene	366	7a_13			
EBIIEENH_00159	CDS	366	7a_13			Protein 7a
EBIIEENH_00160	gene	132				
EBIIEENH_00160	CDS	132				hypothetical protein
EBIIEENH_00161	gene	366				
EBIIEENH_00161	CDS	366				hypothetical protein
EBIIEENH_00162	gene	1260	N_13			
EBIIEENH_00162	CDS	1260	N_13			Nucleoprotein
EBIIEENH_00163	gene	43				
EBIIEENH_00163	misc_RNA	43				s2m
EBIIEENH_00164	gene	13218	1a_14			
EBIIEENH_00164	CDS	13218	1a_14			Replicase polyprotein 1a
EBIIEENH_00165	gene	82				
EBIIEENH_00165	misc_RNA	82				Corona_FSE
EBIIEENH_00166	gene	7788	rep_14			
EBIIEENH_00166	CDS	7788	rep_14			Replicase polyprotein 1ab
EBIIEENH_00167	gene	3822	S_14			
EBIIEENH_00167	CDS	3822	S_14			Spike glycoprotein
EBIIEENH_00168	gene	828	3a_14			
EBIIEENH_00168	CDS	828	3a_14			Protein 3a
EBIIEENH_00169	gene	669	M_14			
EBIIEENH_00169	CDS	669	M_14			Membrane protein
EBIIEENH_00170	gene	186				
EBIIEENH_00170	CDS	186				hypothetical protein
EBIIEENH_00171	gene	366	7a_14			
EBIIEENH_00171	CDS	366	7a_14			Protein 7a
EBIIEENH_00172	gene	132				
EBIIEENH_00172	CDS	132				hypothetical protein
EBIIEENH_00173	gene	366				
EBIIEENH_00173	CDS	366				hypothetical protein
EBIIEENH_00174	gene	1260	N_14			
EBIIEENH_00174	CDS	1260	N_14			Nucleoprotein
EBIIEENH_00175	gene	43				
EBIIEENH_00175	misc_RNA	43				s2m
EBIIEENH_00176	gene	13218	1a_15			
EBIIEENH_00176	CDS	13218	1a_15			Replicase polyprotein 1a
EBIIEENH_00177	gene	82				
EBIIEENH_00177	misc_RNA	82				Corona_FSE
EBIIEENH_00178	gene	7788	rep_15			
EBIIEENH_00178	CDS	7788	rep_15			Replicase polyprotein 1ab
EBIIEENH_00179	gene	3822	S_15			
EBIIEENH_00179	CDS	3822	S_15			Spike glycoprotein
EBIIEENH_00180	gene	828	3a_15			
EBIIEENH_00180	CDS	828	3a_15			Protein 3a
EBIIEENH_00181	gene	669	M_15			
EBIIEENH_00181	CDS	669	M_15			Membrane protein
EBIIEENH_00182	gene	186				
EBIIEENH_00182	CDS	186				hypothetical protein
EBIIEENH_00183	gene	366	7a_15			
EBIIEENH_00183	CDS	366	7a_15			Protein 7a
EBIIEENH_00184	gene	132				
EBIIEENH_00184	CDS	132				hypothetical protein
EBIIEENH_00185	gene	366				
EBIIEENH_00185	CDS	366				hypothetical protein
EBIIEENH_00186	gene	1260	N_15			
EBIIEENH_00186	CDS	1260	N_15			Nucleoprotein
EBIIEENH_00187	gene	43				
EBIIEENH_00187	misc_RNA	43				s2m
EBIIEENH_00188	gene	13218	1a_16			
EBIIEENH_00188	CDS	13218	1a_16			Replicase polyprotein 1a
EBIIEENH_00189	gene	82				
EBIIEENH_00189	misc_RNA	82				Corona_FSE
EBIIEENH_00190	gene	7788	rep_16			
EBIIEENH_00190	CDS	7788	rep_16			Replicase polyprotein 1ab
EBIIEENH_00191	gene	3822	S_16			
EBIIEENH_00191	CDS	3822	S_16			Spike glycoprotein
EBIIEENH_00192	gene	828	3a_16			
EBIIEENH_00192	CDS	828	3a_16			Protein 3a
EBIIEENH_00193	gene	669	M_16			
EBIIEENH_00193	CDS	669	M_16			Membrane protein
EBIIEENH_00194	gene	186				
EBIIEENH_00194	CDS	186				hypothetical protein
EBIIEENH_00195	gene	366	7a_16			
EBIIEENH_00195	CDS	366	7a_16			Protein 7a
EBIIEENH_00196	gene	132				
EBIIEENH_00196	CDS	132				hypothetical protein
EBIIEENH_00197	gene	366				
EBIIEENH_00197	CDS	366				hypothetical protein
EBIIEENH_00198	gene	1260	N_16			
EBIIEENH_00198	CDS	1260	N_16			Nucleoprotein
EBIIEENH_00199	gene	156				
EBIIEENH_00199	CDS	156				hypothetical protein
EBIIEENH_00200	gene	43				
EBIIEENH_00200	misc_RNA	43				s2m
EBIIEENH_00201	gene	13218	1a_17			
EBIIEENH_00201	CDS	13218	1a_17			Replicase polyprotein 1a
EBIIEENH_00202	gene	82				
EBIIEENH_00202	misc_RNA	82				Corona_FSE
EBIIEENH_00203	gene	7788	rep_17			
EBIIEENH_00203	CDS	7788	rep_17			Replicase polyprotein 1ab
EBIIEENH_00204	gene	3822	S_17			
EBIIEENH_00204	CDS	3822	S_17			Spike glycoprotein
EBIIEENH_00205	gene	828	3a_17			
EBIIEENH_00205	CDS	828	3a_17			Protein 3a
EBIIEENH_00206	gene	669	M_17			
EBIIEENH_00206	CDS	669	M_17			Membrane protein
EBIIEENH_00207	gene	186				
EBIIEENH_00207	CDS	186				hypothetical protein
EBIIEENH_00208	gene	366	7a_17			
EBIIEENH_00208	CDS	366	7a_17			Protein 7a
EBIIEENH_00209	gene	132				
EBIIEENH_00209	CDS	132				hypothetical protein
EBIIEENH_00210	gene	366				
EBIIEENH_00210	CDS	366				hypothetical protein
EBIIEENH_00211	gene	1260	N_17			
EBIIEENH_00211	CDS	1260	N_17			Nucleoprotein
EBIIEENH_00212	gene	156				
EBIIEENH_00212	CDS	156				hypothetical protein
EBIIEENH_00213	gene	43				
EBIIEENH_00213	misc_RNA	43				s2m
EBIIEENH_00214	gene	13218	1a_18			
EBIIEENH_00214	CDS	13218	1a_18			Replicase polyprotein 1a
EBIIEENH_00215	gene	82				
EBIIEENH_00215	misc_RNA	82				Corona_FSE
EBIIEENH_00216	gene	7788	rep_18			
EBIIEENH_00216	CDS	7788	rep_18			Replicase polyprotein 1ab
EBIIEENH_00217	gene	3822	S_18			
EBIIEENH_00217	CDS	3822	S_18			Spike glycoprotein
EBIIEENH_00218	gene	828	3a_18			
EBIIEENH_00218	CDS	828	3a_18			Protein 3a
EBIIEENH_00219	gene	669	M_18			
EBIIEENH_00219	CDS	669	M_18			Membrane protein
EBIIEENH_00220	gene	186				
EBIIEENH_00220	CDS	186				hypothetical protein
EBIIEENH_00221	gene	366	7a_18			
EBIIEENH_00221	CDS	366	7a_18			Protein 7a
EBIIEENH_00222	gene	132				
EBIIEENH_00222	CDS	132				hypothetical protein
EBIIEENH_00223	gene	366				
EBIIEENH_00223	CDS	366				hypothetical protein
EBIIEENH_00224	gene	1260	N_18			
EBIIEENH_00224	CDS	1260	N_18			Nucleoprotein
EBIIEENH_00225	gene	156				
EBIIEENH_00225	CDS	156				hypothetical protein
EBIIEENH_00226	gene	43				
EBIIEENH_00226	misc_RNA	43				s2m
EBIIEENH_00227	gene	13218	1a_19			
EBIIEENH_00227	CDS	13218	1a_19			Replicase polyprotein 1a
EBIIEENH_00228	gene	82				
EBIIEENH_00228	misc_RNA	82				Corona_FSE
EBIIEENH_00229	gene	7788	rep_19			
EBIIEENH_00229	CDS	7788	rep_19			Replicase polyprotein 1ab
EBIIEENH_00230	gene	3822	S_19			
EBIIEENH_00230	CDS	3822	S_19			Spike glycoprotein
EBIIEENH_00231	gene	828	3a_19			
EBIIEENH_00231	CDS	828	3a_19			Protein 3a
EBIIEENH_00232	gene	669	M_19			
EBIIEENH_00232	CDS	669	M_19			Membrane protein
EBIIEENH_00233	gene	186				
EBIIEENH_00233	CDS	186				hypothetical protein
EBIIEENH_00234	gene	366	7a_19			
EBIIEENH_00234	CDS	366	7a_19			Protein 7a
EBIIEENH_00235	gene	132				
EBIIEENH_00235	CDS	132				hypothetical protein
EBIIEENH_00236	gene	366				
EBIIEENH_00236	CDS	366				hypothetical protein
EBIIEENH_00237	gene	1260	N_19			
EBIIEENH_00237	CDS	1260	N_19			Nucleoprotein
EBIIEENH_00238	gene	156				
EBIIEENH_00238	CDS	156				hypothetical protein
EBIIEENH_00239	gene	43				
EBIIEENH_00239	misc_RNA	43				s2m
EBIIEENH_00240	gene	13218	1a_20			
EBIIEENH_00240	CDS	13218	1a_20			Replicase polyprotein 1a
EBIIEENH_00241	gene	82				
EBIIEENH_00241	misc_RNA	82				Corona_FSE
EBIIEENH_00242	gene	7788	rep_20			
EBIIEENH_00242	CDS	7788	rep_20			Replicase polyprotein 1ab
EBIIEENH_00243	gene	3822	S_20			
EBIIEENH_00243	CDS	3822	S_20			Spike glycoprotein
EBIIEENH_00244	gene	828	3a_20			
EBIIEENH_00244	CDS	828	3a_20			Protein 3a
EBIIEENH_00245	gene	669	M_20			
EBIIEENH_00245	CDS	669	M_20			Membrane protein
EBIIEENH_00246	gene	186				
EBIIEENH_00246	CDS	186				hypothetical protein
EBIIEENH_00247	gene	366	7a_20			
EBIIEENH_00247	CDS	366	7a_20			Protein 7a
EBIIEENH_00248	gene	132				
EBIIEENH_00248	CDS	132				hypothetical protein
EBIIEENH_00249	gene	366				
EBIIEENH_00249	CDS	366				hypothetical protein
EBIIEENH_00250	gene	1260	N_20			
EBIIEENH_00250	CDS	1260	N_20			Nucleoprotein
EBIIEENH_00251	gene	156				
EBIIEENH_00251	CDS	156				hypothetical protein
EBIIEENH_00252	gene	43				
EBIIEENH_00252	misc_RNA	43				s2m
EBIIEENH_00253	gene	4026	1a_21			
EBIIEENH_00253	CDS	4026	1a_21			Replicase polyprotein 1a
EBIIEENH_00254	gene	82				
EBIIEENH_00254	misc_RNA	82				Corona_FSE
EBIIEENH_00255	gene	7788	rep_21			
EBIIEENH_00255	CDS	7788	rep_21			Replicase polyprotein 1ab
EBIIEENH_00256	gene	3822	S_21			
EBIIEENH_00256	CDS	3822	S_21			Spike glycoprotein
EBIIEENH_00257	gene	828	3a_21			
EBIIEENH_00257	CDS	828	3a_21			Protein 3a
EBIIEENH_00258	gene	669	M_21			
EBIIEENH_00258	CDS	669	M_21			Membrane protein
EBIIEENH_00259	gene	186				
EBIIEENH_00259	CDS	186				hypothetical protein
EBIIEENH_00260	gene	366	7a_21			
EBIIEENH_00260	CDS	366	7a_21			Protein 7a
EBIIEENH_00261	gene	132				
EBIIEENH_00261	CDS	132				hypothetical protein
EBIIEENH_00262	gene	366				
EBIIEENH_00262	CDS	366				hypothetical protein
EBIIEENH_00263	gene	1260	N_21			
EBIIEENH_00263	CDS	1260	N_21			Nucleoprotein
EBIIEENH_00264	gene	156				
EBIIEENH_00264	CDS	156				hypothetical protein
EBIIEENH_00265	gene	43				
EBIIEENH_00265	misc_RNA	43				s2m
EBIIEENH_00266	gene	13218	1a_22			
EBIIEENH_00266	CDS	13218	1a_22			Replicase polyprotein 1a
EBIIEENH_00267	gene	82				
EBIIEENH_00267	misc_RNA	82				Corona_FSE
EBIIEENH_00268	gene	7788	rep_22			
EBIIEENH_00268	CDS	7788	rep_22			Replicase polyprotein 1ab
EBIIEENH_00269	gene	3822	S_22			
EBIIEENH_00269	CDS	3822	S_22			Spike glycoprotein
EBIIEENH_00270	gene	828	3a_22			
EBIIEENH_00270	CDS	828	3a_22			Protein 3a
EBIIEENH_00271	gene	669	M_22			
EBIIEENH_00271	CDS	669	M_22			Membrane protein
EBIIEENH_00272	gene	186				
EBIIEENH_00272	CDS	186				hypothetical protein
EBIIEENH_00273	gene	366	7a_22			
EBIIEENH_00273	CDS	366	7a_22			Protein 7a
EBIIEENH_00274	gene	132				
EBIIEENH_00274	CDS	132				hypothetical protein
EBIIEENH_00275	gene	366				
EBIIEENH_00275	CDS	366				hypothetical protein
EBIIEENH_00276	gene	1260	N_22			
EBIIEENH_00276	CDS	1260	N_22			Nucleoprotein
EBIIEENH_00277	gene	156				
EBIIEENH_00277	CDS	156				hypothetical protein
EBIIEENH_00278	gene	43				
EBIIEENH_00278	misc_RNA	43				s2m
EBIIEENH_00279	gene	13218	1a_23			
EBIIEENH_00279	CDS	13218	1a_23			Replicase polyprotein 1a
EBIIEENH_00280	gene	82				
EBIIEENH_00280	misc_RNA	82				Corona_FSE
EBIIEENH_00281	gene	7788	rep_23			
EBIIEENH_00281	CDS	7788	rep_23			Replicase polyprotein 1ab
EBIIEENH_00282	gene	3822	S_23			
EBIIEENH_00282	CDS	3822	S_23			Spike glycoprotein
EBIIEENH_00283	gene	828	3a_23			
EBIIEENH_00283	CDS	828	3a_23			Protein 3a
EBIIEENH_00284	gene	669	M_23			
EBIIEENH_00284	CDS	669	M_23			Membrane protein
EBIIEENH_00285	gene	186				
EBIIEENH_00285	CDS	186				hypothetical protein
EBIIEENH_00286	gene	366	7a_23			
