locus_tag	ftype	length_bp	gene	EC_number	COG	product
ODOLMAEB_00075	CDS	135				hypothetical protein
ODOLMAEB_00076	CDS	366				hypothetical protein
ODOLMAEB_00077	CDS	1263	N_6			Nucleoprotein
ODOLMAEB_00078	misc_RNA	43				s2m
ODOLMAEB_00079	CDS	13326	1a_7			Replicase polyprotein 1a
ODOLMAEB_00080	misc_RNA	85				Corona_FSE
ODOLMAEB_00081	CDS	7866	rep_7			Replicase polyprotein 1ab
ODOLMAEB_00082	CDS	4029	S_7			Spike glycoprotein
ODOLMAEB_00083	CDS	276				hypothetical protein
ODOLMAEB_00084	CDS	360	ORF4a_1			Non-structural protein ORF4a
ODOLMAEB_00085	CDS	702	ORF4b_1			Non-structural protein ORF4b
ODOLMAEB_00086	CDS	684				hypothetical protein
ODOLMAEB_00087	CDS	249	E_7			Envelope small membrane protein
ODOLMAEB_00088	CDS	660	M_7			Membrane protein
ODOLMAEB_00089	CDS	1275	N_7			Nucleoprotein
ODOLMAEB_00090	CDS	13137	1a_8			Replicase polyprotein 1a
ODOLMAEB_00091	misc_RNA	82				Corona_FSE
ODOLMAEB_00092	CDS	7887	rep_8			Replicase polyprotein 1ab
ODOLMAEB_00093	CDS	3726	S_8			Spike glycoprotein
ODOLMAEB_00094	CDS	825	3a_7			Protein 3a
ODOLMAEB_00095	CDS	231	E_8			Envelope small membrane protein
ODOLMAEB_00096	CDS	666	M_8			Membrane protein
ODOLMAEB_00097	CDS	192				hypothetical protein
ODOLMAEB_00098	CDS	369	7a_7			Protein 7a
ODOLMAEB_00099	CDS	135				hypothetical protein
ODOLMAEB_00100	CDS	369				hypothetical protein
ODOLMAEB_00101	CDS	1266	N_8			Nucleoprotein
ODOLMAEB_00102	misc_RNA	43				s2m
ODOLMAEB_00103	CDS	13167	1a_9			Replicase polyprotein 1a
ODOLMAEB_00104	misc_RNA	82				Corona_FSE
ODOLMAEB_00105	CDS	7887	rep_9			Replicase polyprotein 1ab
ODOLMAEB_00106	CDS	3726	S_9			Spike glycoprotein
ODOLMAEB_00107	CDS	825	3a_8			Protein 3a
ODOLMAEB_00108	CDS	231	E_9			Envelope small membrane protein
ODOLMAEB_00109	CDS	666	M_9			Membrane protein
ODOLMAEB_00110	CDS	192				hypothetical protein
ODOLMAEB_00111	CDS	369	7a_8			Protein 7a
ODOLMAEB_00112	CDS	135				hypothetical protein
ODOLMAEB_00113	CDS	366				hypothetical protein
ODOLMAEB_00114	CDS	1263	N_9			Nucleoprotein
ODOLMAEB_00115	misc_RNA	43				s2m
ODOLMAEB_00116	CDS	13305	1a_10			Replicase polyprotein 1a
ODOLMAEB_00117	misc_RNA	85				Corona_FSE
ODOLMAEB_00118	CDS	7866	rep_10			Replicase polyprotein 1ab
ODOLMAEB_00119	CDS	4035	S_10			Spike glycoprotein
ODOLMAEB_00120	CDS	276				hypothetical protein
ODOLMAEB_00121	CDS	360	ORF4a_2			Non-structural protein ORF4a
ODOLMAEB_00122	CDS	702	ORF4b_2			Non-structural protein ORF4b
ODOLMAEB_00123	CDS	684				hypothetical protein
ODOLMAEB_00124	CDS	249	E_10			Envelope small membrane protein
ODOLMAEB_00125	CDS	660	M_10			Membrane protein
ODOLMAEB_00126	CDS	1272	N_10			Nucleoprotein
ODOLMAEB_00127	CDS	13305	1a_11			Replicase polyprotein 1a
ODOLMAEB_00128	misc_RNA	85				Corona_FSE
ODOLMAEB_00129	CDS	7866	rep_11			Replicase polyprotein 1ab
ODOLMAEB_00130	CDS	4035	S_11			Spike glycoprotein
ODOLMAEB_00131	CDS	276				hypothetical protein
ODOLMAEB_00132	CDS	360	ORF4a_3			Non-structural protein ORF4a
ODOLMAEB_00133	CDS	702	ORF4b_3			Non-structural protein ORF4b
ODOLMAEB_00134	CDS	684				hypothetical protein
ODOLMAEB_00135	CDS	249	E_11			Envelope small membrane protein
ODOLMAEB_00136	CDS	660	M_11			Membrane protein
ODOLMAEB_00137	CDS	1272	N_11			Nucleoprotein
ODOLMAEB_00138	CDS	13305	1a_12			Replicase polyprotein 1a
ODOLMAEB_00139	misc_RNA	85				Corona_FSE
ODOLMAEB_00140	CDS	7866	rep_12			Replicase polyprotein 1ab
ODOLMAEB_00141	CDS	4035	S_12			Spike glycoprotein
ODOLMAEB_00142	CDS	276				hypothetical protein
ODOLMAEB_00143	CDS	360	ORF4a_4			Non-structural protein ORF4a
ODOLMAEB_00144	CDS	702	ORF4b_4			Non-structural protein ORF4b
ODOLMAEB_00145	CDS	684				hypothetical protein
ODOLMAEB_00146	CDS	249	E_12			Envelope small membrane protein
ODOLMAEB_00147	CDS	660	M_12			Membrane protein
ODOLMAEB_00148	CDS	1272	N_12			Nucleoprotein
ODOLMAEB_00149	CDS	13335	1a_13			Replicase polyprotein 1a
ODOLMAEB_00150	misc_RNA	85				Corona_FSE
ODOLMAEB_00151	CDS	7866	rep_13			Replicase polyprotein 1ab
ODOLMAEB_00152	CDS	4035	S_13			Spike glycoprotein
ODOLMAEB_00153	CDS	276				hypothetical protein
ODOLMAEB_00154	CDS	360	ORF4a_5			Non-structural protein ORF4a
ODOLMAEB_00155	CDS	702	ORF4b_5			Non-structural protein ORF4b
ODOLMAEB_00156	CDS	684				hypothetical protein
ODOLMAEB_00157	CDS	249	E_13			Envelope small membrane protein
ODOLMAEB_00158	CDS	660	M_13			Membrane protein
ODOLMAEB_00159	CDS	1272	N_13			Nucleoprotein
ODOLMAEB_00160	CDS	13446	1a_14			Replicase polyprotein 1a
ODOLMAEB_00161	misc_RNA	85				Corona_FSE
ODOLMAEB_00162	CDS	7914	rep_14			Replicase polyprotein 1ab
ODOLMAEB_00163	CDS	3984	S_14			Spike glycoprotein
ODOLMAEB_00164	CDS	312				hypothetical protein
ODOLMAEB_00165	CDS	360	ORF4a_6			Non-structural protein ORF4a
ODOLMAEB_00166	CDS	660	ORF4b_6			Non-structural protein ORF4b
ODOLMAEB_00167	CDS	672				hypothetical protein
ODOLMAEB_00168	CDS	249	E_14			Envelope small membrane protein
ODOLMAEB_00169	CDS	354	M_14			Membrane protein
ODOLMAEB_00170	CDS	1284	N_14			Nucleoprotein
ODOLMAEB_00171	misc_RNA	60				Corona_pk3
ODOLMAEB_00172	CDS	13443	1a_15			Replicase polyprotein 1a
ODOLMAEB_00173	misc_RNA	85				Corona_FSE
ODOLMAEB_00174	CDS	7908	rep_15			Replicase polyprotein 1ab
ODOLMAEB_00175	CDS	3918	S_15			Spike glycoprotein
ODOLMAEB_00176	CDS	312				hypothetical protein
ODOLMAEB_00177	CDS	360	ORF4a_7			Non-structural protein ORF4a
ODOLMAEB_00178	CDS	660	ORF4b_7			Non-structural protein ORF4b
ODOLMAEB_00179	CDS	672				hypothetical protein
ODOLMAEB_00180	CDS	249	E_15			Envelope small membrane protein
ODOLMAEB_00181	CDS	354	M_15			Membrane protein
ODOLMAEB_00182	CDS	1284	N_15			Nucleoprotein
ODOLMAEB_00183	misc_RNA	60				Corona_pk3
ODOLMAEB_00184	CDS	13443	1a_16			Replicase polyprotein 1a
ODOLMAEB_00185	misc_RNA	85				Corona_FSE
ODOLMAEB_00186	CDS	7908	rep_16			Replicase polyprotein 1ab
ODOLMAEB_00187	CDS	3918	S_16			Spike glycoprotein
ODOLMAEB_00188	CDS	312				hypothetical protein
ODOLMAEB_00189	CDS	360	ORF4a_8			Non-structural protein ORF4a
ODOLMAEB_00190	CDS	660	ORF4b_8			Non-structural protein ORF4b
ODOLMAEB_00191	CDS	672				hypothetical protein
ODOLMAEB_00192	CDS	249	E_16			Envelope small membrane protein
ODOLMAEB_00193	CDS	354	M_16			Membrane protein
ODOLMAEB_00194	CDS	1284	N_16			Nucleoprotein
ODOLMAEB_00195	misc_RNA	60				Corona_pk3
ODOLMAEB_00196	CDS	13443	1a_17			Replicase polyprotein 1a
ODOLMAEB_00197	misc_RNA	85				Corona_FSE
ODOLMAEB_00198	CDS	7908	rep_17			Replicase polyprotein 1ab
ODOLMAEB_00199	CDS	3918	S_17			Spike glycoprotein
ODOLMAEB_00200	CDS	312				hypothetical protein
ODOLMAEB_00201	CDS	360	ORF4a_9			Non-structural protein ORF4a
ODOLMAEB_00202	CDS	660	ORF4b_9			Non-structural protein ORF4b
ODOLMAEB_00203	CDS	672				hypothetical protein
ODOLMAEB_00204	CDS	249	E_17			Envelope small membrane protein
ODOLMAEB_00205	CDS	354	M_17			Membrane protein
ODOLMAEB_00206	CDS	1284	N_17			Nucleoprotein
ODOLMAEB_00207	misc_RNA	60				Corona_pk3
ODOLMAEB_00208	CDS	12747	rep_18			Replicase polyprotein 1ab
ODOLMAEB_00209	misc_RNA	85				Corona_FSE
ODOLMAEB_00210	CDS	7767	rep_19			Replicase polyprotein 1ab
ODOLMAEB_00211	CDS	3825	S_18			Spike glycoprotein
ODOLMAEB_00212	CDS	663				hypothetical protein
ODOLMAEB_00213	CDS	240				hypothetical protein
ODOLMAEB_00214	CDS	669	M_18			Membrane protein
ODOLMAEB_00215	CDS	1407	N_18			Nucleoprotein
ODOLMAEB_00216	CDS	558				hypothetical protein
ODOLMAEB_00217	CDS	450				hypothetical protein
ODOLMAEB_00218	misc_RNA	59				Corona_pk3
ODOLMAEB_00219	CDS	12672	rep_20			Replicase polyprotein 1ab
ODOLMAEB_00220	misc_RNA	85				Corona_FSE
ODOLMAEB_00221	CDS	7719	rep_21			Replicase polyprotein 1ab
ODOLMAEB_00222	CDS	3828	S_19			Spike glycoprotein
ODOLMAEB_00223	CDS	693				hypothetical protein
ODOLMAEB_00224	CDS	240				hypothetical protein
ODOLMAEB_00225	CDS	666	M_19			Membrane protein
ODOLMAEB_00226	CDS	1413				hypothetical protein
ODOLMAEB_00227	CDS	594				hypothetical protein
ODOLMAEB_00228	CDS	444				hypothetical protein
ODOLMAEB_00229	misc_RNA	59				Corona_pk3
ODOLMAEB_00230	CDS	12696	rep_22			Replicase polyprotein 1ab
ODOLMAEB_00231	misc_RNA	85				Corona_FSE
ODOLMAEB_00232	CDS	7761	rep_23			Replicase polyprotein 1ab
ODOLMAEB_00233	CDS	3810	S_20			Spike glycoprotein
ODOLMAEB_00234	CDS	693				hypothetical protein
ODOLMAEB_00235	CDS	231				hypothetical protein
ODOLMAEB_00236	CDS	663	M_20			Membrane protein
ODOLMAEB_00237	CDS	1407				hypothetical protein
ODOLMAEB_00238	CDS	597				hypothetical protein
ODOLMAEB_00239	CDS	447				hypothetical protein
ODOLMAEB_00240	misc_RNA	59				Corona_pk3
ODOLMAEB_00241	CDS	12732	rep_24			Replicase polyprotein 1ab
ODOLMAEB_00242	misc_RNA	85				Corona_FSE
ODOLMAEB_00243	CDS	7767	rep_25			Replicase polyprotein 1ab
ODOLMAEB_00244	CDS	3819	S_21			Spike glycoprotein
ODOLMAEB_00245	CDS	687				hypothetical protein
ODOLMAEB_00246	CDS	231				hypothetical protein
ODOLMAEB_00247	CDS	669	M_21			Membrane protein
ODOLMAEB_00248	CDS	1413				hypothetical protein
ODOLMAEB_00249	CDS	597				hypothetical protein
ODOLMAEB_00250	CDS	450				hypothetical protein
ODOLMAEB_00251	misc_RNA	59				Corona_pk3
ODOLMAEB_00252	misc_RNA	72				Coronavirus_5p_sl_1_2
ODOLMAEB_00253	CDS	12180	1a_18			Replicase polyprotein 1a
ODOLMAEB_00254	misc_RNA	79				Corona_FSE
ODOLMAEB_00255	CDS	7839	rep_26			Replicase polyprotein 1ab
ODOLMAEB_00256	CDS	3387				hypothetical protein
ODOLMAEB_00257	CDS	690				hypothetical protein
ODOLMAEB_00258	CDS	228				hypothetical protein
ODOLMAEB_00259	CDS	690	M_22			Membrane protein
ODOLMAEB_00260	CDS	1128	N_19			Nucleoprotein
ODOLMAEB_00261	CDS	300				hypothetical protein
ODOLMAEB_00262	misc_RNA	63				Corona_pk3
ODOLMAEB_00263	misc_RNA	72				Coronavirus_5p_sl_1_2
ODOLMAEB_00264	CDS	12180	1a_19			Replicase polyprotein 1a
ODOLMAEB_00265	misc_RNA	79				Corona_FSE
ODOLMAEB_00266	CDS	7839	rep_27			Replicase polyprotein 1ab
ODOLMAEB_00267	CDS	3387				hypothetical protein
ODOLMAEB_00268	CDS	690				hypothetical protein
ODOLMAEB_00269	CDS	228				hypothetical protein
ODOLMAEB_00270	CDS	690	M_23			Membrane protein
ODOLMAEB_00271	CDS	1128	N_20			Nucleoprotein
ODOLMAEB_00272	CDS	300				hypothetical protein
ODOLMAEB_00273	misc_RNA	63				Corona_pk3
ODOLMAEB_00274	misc_RNA	72				Coronavirus_5p_sl_1_2
ODOLMAEB_00275	CDS	12180	1a_20			Replicase polyprotein 1a
ODOLMAEB_00276	misc_RNA	79				Corona_FSE
ODOLMAEB_00277	CDS	7839	rep_28			Replicase polyprotein 1ab
ODOLMAEB_00278	CDS	3387				hypothetical protein
ODOLMAEB_00279	CDS	690				hypothetical protein
ODOLMAEB_00280	CDS	228				hypothetical protein
ODOLMAEB_00281	CDS	690	M_24			Membrane protein
ODOLMAEB_00282	CDS	1128	N_21			Nucleoprotein
ODOLMAEB_00283	CDS	300				hypothetical protein
ODOLMAEB_00284	misc_RNA	63				Corona_pk3
ODOLMAEB_00285	misc_RNA	72				Coronavirus_5p_sl_1_2
ODOLMAEB_00286	CDS	12180	1a_21			Replicase polyprotein 1a
ODOLMAEB_00287	misc_RNA	79				Corona_FSE
ODOLMAEB_00288	CDS	7839	rep_29			Replicase polyprotein 1ab
ODOLMAEB_00289	CDS	3387				hypothetical protein
ODOLMAEB_00290	CDS	690				hypothetical protein
ODOLMAEB_00291	CDS	228				hypothetical protein
ODOLMAEB_00292	CDS	690	M_25			Membrane protein
ODOLMAEB_00293	CDS	1128	N_22			Nucleoprotein
ODOLMAEB_00294	CDS	300				hypothetical protein
ODOLMAEB_00295	misc_RNA	63				Corona_pk3
ODOLMAEB_00296	misc_RNA	69				Coronavirus_5p_sl_1_2
ODOLMAEB_00297	CDS	12975				hypothetical protein
ODOLMAEB_00298	misc_RNA	79				Corona_FSE
ODOLMAEB_00299	CDS	7827	rep_30			Replicase polyprotein 1ab
ODOLMAEB_00300	CDS	4158	S_22			Spike glycoprotein
ODOLMAEB_00301	CDS	660				hypothetical protein
ODOLMAEB_00302	CDS	225				hypothetical protein
ODOLMAEB_00303	CDS	768	M_26			Membrane protein
ODOLMAEB_00304	CDS	1152	N_23			Nucleoprotein
ODOLMAEB_00305	misc_RNA	68				Coronavirus_5p_sl_1_2
ODOLMAEB_00306	CDS	12807				hypothetical protein
ODOLMAEB_00307	misc_RNA	79				Corona_FSE
ODOLMAEB_00308	CDS	7827	rep_31			Replicase polyprotein 1ab
ODOLMAEB_00309	CDS	4128	S_23			Spike glycoprotein
ODOLMAEB_00310	CDS	660				hypothetical protein
ODOLMAEB_00311	CDS	225				hypothetical protein
ODOLMAEB_00312	CDS	768	M_27			Membrane protein
ODOLMAEB_00313	CDS	1170	N_24			Nucleoprotein
ODOLMAEB_00314	misc_RNA	69				Coronavirus_5p_sl_1_2
ODOLMAEB_00315	CDS	12696				hypothetical protein
ODOLMAEB_00316	misc_RNA	79				Corona_FSE
ODOLMAEB_00317	CDS	7830	rep_32			Replicase polyprotein 1ab
ODOLMAEB_00318	CDS	4128	S_24			Spike glycoprotein
ODOLMAEB_00319	CDS	669				hypothetical protein
ODOLMAEB_00320	CDS	225				hypothetical protein
ODOLMAEB_00321	CDS	756	M_28			Membrane protein
ODOLMAEB_00322	CDS	1269	N_25			Nucleoprotein
ODOLMAEB_00323	CDS	480				hypothetical protein
ODOLMAEB_00324	misc_RNA	62				Corona_pk3
ODOLMAEB_00325	CDS	12570				hypothetical protein
ODOLMAEB_00326	misc_RNA	82				Corona_FSE
ODOLMAEB_00327	CDS	7887	rep_33			Replicase polyprotein 1ab
ODOLMAEB_00328	CDS	3726	S_25			Spike glycoprotein
ODOLMAEB_00329	CDS	825	3a_9			Protein 3a
ODOLMAEB_00330	CDS	231	E_18			Envelope small membrane protein
ODOLMAEB_00331	CDS	666	M_29			Membrane protein
ODOLMAEB_00332	CDS	192				hypothetical protein
ODOLMAEB_00333	CDS	369	7a_9			Protein 7a
ODOLMAEB_00334	CDS	135				hypothetical protein
ODOLMAEB_00335	CDS	366				hypothetical protein
ODOLMAEB_00336	CDS	1269	N_26			Nucleoprotein
ODOLMAEB_00337	misc_RNA	43				s2m
ODOLMAEB_00338	CDS	13131	1a_22			Replicase polyprotein 1a
ODOLMAEB_00339	misc_RNA	82				Corona_FSE
ODOLMAEB_00340	CDS	7887	rep_34			Replicase polyprotein 1ab
ODOLMAEB_00341	CDS	3729	S_26			Spike glycoprotein
ODOLMAEB_00342	CDS	825	3a_10			Protein 3a
ODOLMAEB_00343	CDS	231	E_19			Envelope small membrane protein
ODOLMAEB_00344	CDS	666	M_30			Membrane protein
ODOLMAEB_00345	CDS	192				hypothetical protein
ODOLMAEB_00346	CDS	369	7a_10			Protein 7a
ODOLMAEB_00347	CDS	135				hypothetical protein
ODOLMAEB_00348	CDS	366				hypothetical protein
ODOLMAEB_00349	CDS	1266	N_27			Nucleoprotein
ODOLMAEB_00350	misc_RNA	43				s2m
ODOLMAEB_00351	CDS	13131	1a_23			Replicase polyprotein 1a
ODOLMAEB_00352	misc_RNA	82				Corona_FSE
ODOLMAEB_00353	CDS	7887	rep_35			Replicase polyprotein 1ab
ODOLMAEB_00354	CDS	3729	S_27			Spike glycoprotein
ODOLMAEB_00355	CDS	825	3a_11			Protein 3a
ODOLMAEB_00356	CDS	231	E_20			Envelope small membrane protein
ODOLMAEB_00357	CDS	666	M_31			Membrane protein
ODOLMAEB_00358	CDS	192				hypothetical protein
ODOLMAEB_00359	CDS	369	7a_11			Protein 7a
ODOLMAEB_00360	CDS	135				hypothetical protein
ODOLMAEB_00361	CDS	366				hypothetical protein
ODOLMAEB_00362	CDS	1266	N_28			Nucleoprotein
ODOLMAEB_00363	misc_RNA	43				s2m
ODOLMAEB_00364	CDS	13131	1a_24			Replicase polyprotein 1a
ODOLMAEB_00365	misc_RNA	82				Corona_FSE
ODOLMAEB_00366	CDS	7887	rep_36			Replicase polyprotein 1ab
ODOLMAEB_00367	CDS	3729	S_28			Spike glycoprotein
ODOLMAEB_00368	CDS	825	3a_12			Protein 3a
ODOLMAEB_00369	CDS	231	E_21			Envelope small membrane protein
ODOLMAEB_00370	CDS	666	M_32			Membrane protein
ODOLMAEB_00371	CDS	192				hypothetical protein
ODOLMAEB_00372	CDS	369	7a_12			Protein 7a
ODOLMAEB_00373	CDS	135				hypothetical protein
ODOLMAEB_00374	CDS	366				hypothetical protein
ODOLMAEB_00375	CDS	1266	N_29			Nucleoprotein
ODOLMAEB_00376	misc_RNA	43				s2m
ODOLMAEB_00377	CDS	13143	1a_25			Replicase polyprotein 1a
ODOLMAEB_00378	misc_RNA	82				Corona_FSE
ODOLMAEB_00379	CDS	7887	rep_37			Replicase polyprotein 1ab
ODOLMAEB_00380	CDS	3729	S_29			Spike glycoprotein
ODOLMAEB_00381	CDS	825	3a_13			Protein 3a
ODOLMAEB_00382	CDS	231	E_22			Envelope small membrane protein
ODOLMAEB_00383	CDS	666	M_33			Membrane protein
ODOLMAEB_00384	CDS	192				hypothetical protein
ODOLMAEB_00385	CDS	369	7a_13			Protein 7a
ODOLMAEB_00386	CDS	135				hypothetical protein
ODOLMAEB_00387	CDS	366				hypothetical protein
ODOLMAEB_00388	CDS	1266	N_30			Nucleoprotein
ODOLMAEB_00389	misc_RNA	43				s2m
ODOLMAEB_00390	CDS	13143	1a_26			Replicase polyprotein 1a
ODOLMAEB_00391	misc_RNA	82				Corona_FSE
ODOLMAEB_00392	CDS	7887	rep_38			Replicase polyprotein 1ab
ODOLMAEB_00393	CDS	3729	S_30			Spike glycoprotein
ODOLMAEB_00394	CDS	816	3a_14			Protein 3a
ODOLMAEB_00395	CDS	231	E_23			Envelope small membrane protein
ODOLMAEB_00396	CDS	666	M_34			Membrane protein
ODOLMAEB_00397	CDS	192				hypothetical protein
ODOLMAEB_00398	CDS	369	7a_14			Protein 7a
ODOLMAEB_00399	CDS	135				hypothetical protein
ODOLMAEB_00400	CDS	1266	N_31			Nucleoprotein
ODOLMAEB_00401	misc_RNA	43				s2m
ODOLMAEB_00402	CDS	13122	1a_27			Replicase polyprotein 1a
ODOLMAEB_00403	misc_RNA	82				Corona_FSE
ODOLMAEB_00404	CDS	7887	rep_39			Replicase polyprotein 1ab
ODOLMAEB_00405	CDS	3729	S_31			Spike glycoprotein
ODOLMAEB_00406	CDS	825	3a_15			Protein 3a
ODOLMAEB_00407	CDS	231	E_24			Envelope small membrane protein
ODOLMAEB_00408	CDS	666	M_35			Membrane protein
ODOLMAEB_00409	CDS	192				hypothetical protein
ODOLMAEB_00410	CDS	369	7a_15			Protein 7a
ODOLMAEB_00411	CDS	135				hypothetical protein
ODOLMAEB_00412	CDS	366				hypothetical protein
ODOLMAEB_00413	CDS	1266	N_32			Nucleoprotein
ODOLMAEB_00414	misc_RNA	43				s2m
ODOLMAEB_00415	CDS	13122	1a_28			Replicase polyprotein 1a
ODOLMAEB_00416	misc_RNA	82				Corona_FSE
ODOLMAEB_00417	CDS	7887	rep_40			Replicase polyprotein 1ab
ODOLMAEB_00418	CDS	3729	S_32			Spike glycoprotein
ODOLMAEB_00419	CDS	825	3a_16			Protein 3a
ODOLMAEB_00420	CDS	231	E_25			Envelope small membrane protein
ODOLMAEB_00421	CDS	666	M_36			Membrane protein
ODOLMAEB_00422	CDS	192				hypothetical protein
ODOLMAEB_00423	CDS	369	7a_16			Protein 7a
ODOLMAEB_00424	CDS	135				hypothetical protein
ODOLMAEB_00425	CDS	366				hypothetical protein
ODOLMAEB_00426	CDS	1266	N_33			Nucleoprotein
ODOLMAEB_00427	misc_RNA	43				s2m
ODOLMAEB_00428	CDS	13122	1a_29			Replicase polyprotein 1a
ODOLMAEB_00429	misc_RNA	82				Corona_FSE
ODOLMAEB_00430	CDS	7887	rep_41			Replicase polyprotein 1ab
ODOLMAEB_00431	CDS	3729	S_33			Spike glycoprotein
ODOLMAEB_00432	CDS	825	3a_17			Protein 3a
ODOLMAEB_00433	CDS	231	E_26			Envelope small membrane protein
ODOLMAEB_00434	CDS	666	M_37			Membrane protein
ODOLMAEB_00435	CDS	192				hypothetical protein
ODOLMAEB_00436	CDS	369	7a_17			Protein 7a
ODOLMAEB_00437	CDS	135				hypothetical protein
ODOLMAEB_00438	CDS	366				hypothetical protein
ODOLMAEB_00439	CDS	1266	N_34			Nucleoprotein
ODOLMAEB_00440	misc_RNA	43				s2m
ODOLMAEB_00441	CDS	13131	1a_30			Replicase polyprotein 1a
ODOLMAEB_00442	misc_RNA	82				Corona_FSE
ODOLMAEB_00443	CDS	7887	rep_42			Replicase polyprotein 1ab
ODOLMAEB_00444	CDS	3729	S_34			Spike glycoprotein
ODOLMAEB_00445	CDS	825	3a_18			Protein 3a
ODOLMAEB_00446	CDS	231	E_27			Envelope small membrane protein
ODOLMAEB_00447	CDS	666	M_38			Membrane protein
ODOLMAEB_00448	CDS	192				hypothetical protein
ODOLMAEB_00449	CDS	369	7a_18			Protein 7a
ODOLMAEB_00450	CDS	135				hypothetical protein
ODOLMAEB_00451	CDS	366				hypothetical protein
