Genome,Length,GC,N,Family,ENSSAST00005000002.1,ENSSAST00005000004.1,ENSSAST00005000005.1,ENSSAST00005000006.1,ENSSAST00005000007.1,ENSSAST00005000008.1,ENSSAST00005000009.1,ENSSAST00005000010.1,ENSSAST00005000011.1,ENSSAST00005000012.1,ENSSAST00005000013.1,Total_Ref_Count
EF203064,27165,39.28,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF203065,27164,39.32,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF203066,27164,39.29,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EF203067,27164,39.29,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EU420137,28476,38.56,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EU420138,28326,38.14,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
EU420139,28773,41.79,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
FJ588686,29059,41.09,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153539,29704,41.17,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153540,29704,41.17,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153541,29704,41.18,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153542,29716,41.10,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
GQ153543,29681,41.08,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
GQ153544,29695,41.15,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153545,29695,41.16,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153546,29695,41.16,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153547,29704,41.08,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GQ153548,29677,41.17,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,7
GU190215,29276,40.45,0.00,Betacoronavirus,PROKKA,N/A,N/A,N/A,N/A,N/A,N/A,BLAST,N/A,N/A,BLAST,3
MN996532,29855,38.04,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,BLAST,PROKKA,PROKKA,BLAST,11
HM211098,29136,42.67,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
HM211099,29112,41.11,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
HM211100,29136,42.68,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
HM211101,29122,41.01,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989266,28483,38.22,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989267,28483,38.22,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989268,28483,38.24,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989269,28492,38.25,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989270,28494,38.52,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989271,28489,38.49,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989272,28483,38.25,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JQ989273,28483,38.26,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
JX993987,29484,41.59,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
JX993988,29452,40.87,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,N/A,BLAST,6
KC881005,29787,40.90,0.01,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KC881006,29792,40.80,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KF367457,30309,40.77,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KF430219,28035,40.83,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KF636752,31491,41.28,0.00,Betacoronavirus,PROKKA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
KJ473795,28310,38.16,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473796,28311,38.17,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473797,28758,41.79,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473798,28755,41.84,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473799,28765,41.86,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473800,28735,41.97,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473820,30480,43.18,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473822,30247,37.85,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KP886808,29723,40.74,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,6
KP886809,29723,40.74,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,PROKKA,BLAST,6
KU182964,28761,40.99,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,PROKKA,PROKKA,BLAST,8
KU182965,30321,38.09,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KU762338,30161,45.30,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KU973692,29722,41.17,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KX442564,30498,42.18,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KX442565,30497,42.22,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KX574227,29642,41.16,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY073744,28363,39.22,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY073745,28679,42.77,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY073746,28442,42.61,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY073747,27837,37.88,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY073748,27636,39.07,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY417142,29725,41.07,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KY417143,29741,41.06,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KY417144,29770,40.94,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KY417145,29710,41.28,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KY417146,29782,40.95,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KY417147,29741,40.96,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KY417148,29743,40.98,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KY417149,29743,40.99,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KY417150,30311,40.89,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KY417151,30307,40.86,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KY417152,29769,40.82,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
KY770850,26883,42.11,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY770851,28096,41.87,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY770858,29688,41.07,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
KY770859,29667,41.08,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,N/A,PROKKA,N/A,N/A,BLAST,6
KY770860,29651,41.05,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,N/A,N/A,PROKKA,PROKKA,PROKKA,PROKKA,BLAST,7
KY799179,28173,40.66,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KY938558,29075,40.98,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,PROKKA,PROKKA,BLAST,8
LC469308,29930,43.05,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MF167434,27171,39.34,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MF370205,27155,39.43,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG596802,30048,39.02,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG596803,30039,39.02,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG742313,27155,39.40,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG762674,29134,42.04,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG772933,29802,38.90,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,N/A,BLAST,10
MG772934,29732,38.82,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,PROKKA,N/A,BLAST,10
MG916901,29102,41.17,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG916902,29074,41.28,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG916903,29076,41.37,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG916904,28751,39.00,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH002337,30255,37.89,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH002338,30252,37.86,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH002339,30280,37.86,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH002340,30494,43.16,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH002341,30480,43.13,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH002342,30529,43.12,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH539766,27170,39.36,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH697599,27183,39.40,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH938448,27862,42.41,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH938449,28128,40.41,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH938450,28146,40.30,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK492263,29585,38.55,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK720944,27636,36.98,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK720945,29201,40.32,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK720946,29201,40.32,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN065811,28119,40.83,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611517,27619,39.05,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611518,28751,41.95,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611519,30224,38.03,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611520,30511,43.22,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611521,27933,40.24,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611522,26956,39.95,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611523,28514,38.31,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611524,28316,38.14,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MN611525,28169,38.72,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
NC_009657,28203,40.12,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687934,28249,40.12,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687935,27757,40.47,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687936,28181,40.55,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687937,28236,40.23,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687938,28349,40.31,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687939,28307,40.54,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687940,28170,40.54,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687941,28008,40.22,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687942,28321,40.18,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687943,28240,40.11,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687944,28219,40.19,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687945,28235,40.24,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687946,28173,40.25,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687947,22363,39.93,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687948,28255,40.20,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687949,28185,40.47,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687950,28155,40.53,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687951,28313,40.40,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687952,27225,40.55,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687953,23258,40.14,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687954,28240,40.41,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687955,28219,40.17,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687956,28050,40.10,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687957,28173,40.32,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687958,28036,40.12,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687959,28169,40.47,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687960,27303,40.19,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687961,28168,40.14,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687962,27752,40.58,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687963,28169,40.32,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687964,28210,40.33,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687965,28115,40.11,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687966,28389,40.16,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MH687967,27726,40.30,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MG923574,28045,41.43,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473806,27935,40.99,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473809,27783,41.82,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473810,27576,38.54,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473807,27608,38.27,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473808,26975,37.80,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK211374,29648,40.88,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
MK211373,29109,41.29,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK211375,29698,41.05,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
MK211376,30256,40.84,0.00,Betacoronavirus,PROKKA,N/A,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,7
MK211377,29689,41.09,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
MK211378,30213,41.03,0.00,Betacoronavirus,PROKKA,PROKKA,PROKKA,N/A,PROKKA,N/A,PROKKA,PROKKA,N/A,PROKKA,BLAST,8
MK211379,29752,38.21,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK211369,28303,40.35,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK211370,28175,40.34,0.01,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK211371,28146,40.27,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
MK211372,28238,40.24,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
KJ473821,30423,43.06,0.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0
